risk_rank,district,sub_district,weather_location,geographical_area_ha,flood_affected_area_ha,flood_affected_percent,avg_annual_rainfall_mm,avg_temperature_c,avg_humidity_percent,avg_wind_speed_mps,avg_pressure_kpa,max_daily_rainfall_mm,risk_category,risk_score
1,JALOR,CHITALWANA,Jalore,169829.85,39923.02,23.51,380.05270270270273,27.194646292733463,38.75282299837206,2.611423708746485,98.911838833802,100.99,Very High,4
2,DHAULPUR,RAJAKHERA,Dholpur,38839.56,6390.43,16.45,674.1978378378378,26.60415865028859,43.33111883972177,1.9932810418824922,98.70990602338316,116.87,Very High,4
3,BUNDI,INDERGARH,Bundi,61279.77,9828.18,16.04,655.7367567567567,26.286040402545506,42.79847269498298,2.1376091460707416,97.32347269498297,124.73,Very High,4
4,BHILWARA,HAMIRGARH,Bhilwara,24371.24,3855.93,15.82,545.8694594594594,25.29591312712742,41.955148734645554,2.3331907651324553,95.44139188989196,102.64,Very High,4
5,GANGANAGAR,VIJAY NAGAR,Sri Ganganagar,81033.64,12050.05,14.87,292.70810810810815,27.020676335651917,33.45003847861477,1.8429643332840018,98.76141112919935,337.99,Very High,4
6,TONK,TONK,Tonk,74019.96,10894.6,14.72,590.7735135135135,26.15527009027675,41.89283261802575,2.1241823294361404,97.29646070741452,108.85,Very High,4
7,PALI,ROHAT,Pali,132679.49,18460.07,13.91,374.85945945945946,26.819590054758027,38.60241453307681,2.51475284889744,98.35846307532928,112.76,Very High,4
8,JHALAWAR,ASNAWAR,Jhalawar,28462.24,3825.49,13.44,813.5959459459459,26.076238715406244,46.965430664496076,2.3277208820482462,96.86072517389374,124.61,Very High,4
9,JALOR,BAGORA,Jalore,78689.9,9777.27,12.43,380.05270270270273,27.194646292733463,38.75282299837206,2.611423708746485,98.911838833802,100.99,Very High,4
10,TONK,PIPLU,Tonk,67152.33,8296.36,12.35,590.7735135135135,26.15527009027675,41.89283261802575,2.1241823294361404,97.29646070741452,108.85,Very High,4
11,AJMER,SAWAR,Ajmer,31719.88,3857.49,12.16,452.4610810810811,25.721801835133935,39.610815450643784,2.376531004883824,96.48216368210744,57.83,Very High,4
12,ALWAR,BANSUR,Alwar,68251.87,8300.36,12.16,580.7448648648649,26.243588130827288,40.61203344679592,2.0058235903507473,97.86954269646293,74.7,Very High,4
13,BARAN,CHHABRA,Baran,76951.76,9023.08,11.73,768.6575675675676,26.3377785999704,45.30979354743229,2.1596862512949535,97.48938878200386,149.15,Very High,4
14,GANGANAGAR,ANUPGARH,Sri Ganganagar,111398.8,12987.5,11.66,292.70810810810815,27.020676335651917,33.45003847861477,1.8429643332840018,98.76141112919935,337.99,Very High,4
15,KOTA,SANGOD,Kota,48882.86,5499.49,11.25,722.8813513513513,25.826654580435104,45.141390409945245,2.287511469587095,96.53276010063638,120.58,Very High,4
