district,Low,Moderate,High,Very High,total_sub_districts
AJMER,2,4,4,1,11
ALWAR,1,1,1,3,6
BANSWARA,5,3,2,0,10
BARAN,1,0,2,1,4
BARMER,2,1,1,2,6
BHARATPUR,1,0,1,0,2
BHILWARA,3,4,2,4,13
BUNDI,1,0,0,1,2
CHITTAURGARH,1,2,2,0,5
DHAULPUR,1,2,0,1,4
DUNGARPUR,3,3,1,1,8
GANGANAGAR,0,0,0,2,2
HANUMANGARH,1,0,1,1,3
JAIPUR,1,4,4,4,13
JALOR,0,2,2,4,8
JHALAWAR,0,1,4,3,8
JODHPUR,0,1,2,0,3
KARAULI,2,0,0,0,2
KOTA,0,0,0,1,1
NAGAUR,0,0,1,1,2
PALI,0,1,4,5,10
PRATAPGARH,1,2,1,0,4
RAJ SAMAND,3,2,1,0,6
SAWAI MADHOPUR,0,1,1,2,4
SIROHI,2,1,1,0,4
TONK,0,3,1,4,8
UDAIPUR,10,2,1,0,13
