district,total_geographical_area_ha,total_flood_affected_area_ha,avg_flood_affected_percent,max_flood_affected_percent,sub_district_count,overall_flood_affected_percent
GANGANAGAR,192432.44,25037.55,13.26,14.87,2,13.01
KOTA,48882.86,5499.49,11.25,11.25,1,11.25
JALOR,904831.72,88310.77,9.08,23.51,8,9.76
PALI,1191996.42,91384.37,7.42,13.91,10,7.67
SAWAI MADHOPUR,301640.36,21628.29,7.02,11.14,4,7.17
BUNDI,154135.11,9970.87,8.09,16.04,2,6.47
TONK,692967.46,44032.33,7.13,14.72,8,6.35
ALWAR,338613.87,19334.79,6.16,12.16,6,5.71
JHALAWAR,609884.02,34764.08,6.36,13.44,8,5.7
NAGAUR,215711.93,11668.35,5.45,7.27,2,5.41
DHAULPUR,208315.6,10706.220000000001,5.74,16.45,4,5.14
HANUMANGARH,232897.39,11777.07,4.55,7.8,3,5.06
JAIPUR,883630.27,41322.340000000004,4.58,10.11,13,4.68
BHILWARA,831988.8,38208.619999999995,4.55,15.82,13,4.59
BARAN,437401.64999999997,19417.15,5.32,11.73,4,4.44
JODHPUR,446728.19,19112.050000000003,4.65,6.6,3,4.28
CHITTAURGARH,441619.37,14155.869999999999,2.52,5.67,5,3.21
BARMER,1089537.03,33283.3,3.99,8.55,6,3.05
AJMER,604393.82,17828.47,3.41,12.16,11,2.95
BHARATPUR,129063.71,3195.52,2.83,5.0,2,2.48
PRATAPGARH,357605.17,8451.99,2.34,5.75,4,2.36
DUNGARPUR,338181.41000000003,7539.13,2.93,8.92,8,2.23
SIROHI,386853.82999999996,8107.52,2.1,4.48,4,2.1
RAJ SAMAND,310040.9,6092.48,1.88,6.47,6,1.97
BANSWARA,397094.7,6828.110000000001,1.91,4.83,10,1.72
KARAULI,186136.86,1529.9099999999999,0.86,0.95,2,0.82
UDAIPUR,1126155.48,7427.43,0.87,3.42,13,0.66
