district,sub_district,geographical_area_ha,flood_affected_area_ha,flood_affected_percent
AJMER,TANTOTI,15092.49,707.51,4.69
AJMER,BIJAYNAGAR,30119.18,497.73,1.65
AJMER,RUPANGARH,57221.96,2347.26,4.1
AJMER,AJMER,68932.23,269.92,0.39
AJMER,BHINAY,79171.7,1095.62,1.38
AJMER,PEESANGAN,63018.8,1510.48,2.4
AJMER,SAWAR,31719.88,3857.49,12.16
AJMER,ARAIN,53650.21,1009.14,1.88
AJMER,KISHANGARH,55463.44,134.35,0.24
AJMER,KEKRI,64879.69,2878.44,4.44
AJMER,SARWAR,85124.24,3520.53,4.14
ALWAR,BAHROR,33451.94,1609.74,4.81
ALWAR,MANDAWAR,55139.7,4803.47,8.71
ALWAR,BANSUR,68251.87,8300.36,12.16
ALWAR,THANAGAZI,81938.7,1423.35,1.74
ALWAR,KOTKASIM,33326.18,3167.26,9.5
ALWAR,TIJARA,66505.48,30.61,0.05
BANSWARA,GANGARTALAI,20935.43,192.33,0.92
BANSWARA,AMBAPURA,22039.47,791.34,3.59
BANSWARA,GANORA,24316.61,1174.63,4.83
BANSWARA,WAGIDORA,28617.72,97.19,0.34
BANSWARA,ANANDPURI,32259.17,979.74,3.04
BANSWARA,SAJJANGARH,37563.05,291.48,0.78
BANSWARA,GHATOL,49884.09,1080.12,2.17
BANSWARA,BANSWARA,50509.25,440.17,0.87
BANSWARA,KUSHALGARH,62457.66,4.05,0.01
BANSWARA,GARHI,68512.25,1777.06,2.59
BARAN,CHHIPA BAROD,81746.78,3997.33,4.89
BARAN,KISHANGANJ,137211.0,5762.72,4.2
BARAN,CHHABRA,76951.76,9023.08,11.73
BARAN,SHAHBAD,141492.11,634.02,0.45
BARMER,SAMDARI,80548.48,6885.85,8.55
BARMER,GUDHAMALANI,124423.03,9305.57,7.48
BARMER,PACHPADRA,335228.84,7020.33,2.09
BARMER,BAYTOO,138324.76,275.66,0.2
BARMER,SINDARI,158110.47,7375.3,4.66
BARMER,SERWA,252901.45,2420.59,0.96
BHARATPUR,RUPWAS,54031.05,2701.15,5.0
BHARATPUR,BAYANA,75032.66,494.37,0.66
BHILWARA,HAMIRGARH,24371.24,3855.93,15.82
BHILWARA,BADNOR,36790.34,621.35,1.69
BHILWARA,KARERA,54497.39,472.81,0.87
BHILWARA,SAHARA,62435.74,513.1,0.82
BHILWARA,BANERA,63790.11,31.64,0.05
BHILWARA,ASIND,72269.87,1799.48,2.49
BHILWARA,MANDAL,62713.21,1322.04,2.11
BHILWARA,BHILWARA,69286.19,3035.88,4.38
BHILWARA,HURARA,60183.4,1008.02,1.67
BHILWARA,PHULIYA KALAN,42369.13,1734.73,4.09
BHILWARA,MANDALGARH,89498.71,6832.84,7.63
BHILWARA,KOTARI,89815.42,8034.91,8.95
BHILWARA,JAHAJPUR,103968.05,8945.89,8.6
BUNDI,INDERGARH,61279.77,9828.18,16.04
BUNDI,BUNDI,92855.34,142.69,0.15
CHITTAURGARH,KAPASAN,49286.46,677.57,1.37
CHITTAURGARH,GANGRAR,53518.71,742.19,1.39
CHITTAURGARH,CHITTAURGARH,94911.69,3269.32,3.44
CHITTAURGARH,RAWATBHATA,155485.79,8823.75,5.67
CHITTAURGARH,BEGUN,88416.72,643.04,0.73
DHAULPUR,SEPAU,29638.33,183.43,0.62
DHAULPUR,RAJAKHERA,38839.56,6390.43,16.45
DHAULPUR,SARMATHURA,62830.9,1801.89,2.87
DHAULPUR,BARI,77006.81,2330.47,3.03
DUNGARPUR,GALIACOT,18887.9,1036.85,5.49
DUNGARPUR,CHIKHLI,24292.84,807.69,3.32
DUNGARPUR,ASPUR,33568.9,973.14,2.9
DUNGARPUR,SABLA,34648.56,3092.24,8.92
DUNGARPUR,SIMALWARA,39584.58,174.12,0.44
DUNGARPUR,BICHHIWARA,50309.28,92.02,0.18
DUNGARPUR,SAGWARA,59680.35,1153.16,1.93
DUNGARPUR,DUNGARPUR,77209.0,209.91,0.27
GANGANAGAR,VIJAY NAGAR,81033.64,12050.05,14.87
GANGANAGAR,ANUPGARH,111398.8,12987.5,11.66
HANUMANGARH,SANGHRIYA,63679.47,23.52,0.04
HANUMANGARH,TIBI,72384.28,4195.85,5.8
HANUMANGARH,PILIBANGA,96833.64,7557.7,7.8
JAIPUR,VIRAT NAGAR,46646.27,3905.46,8.37
JAIPUR,CHAKSU,50040.17,308.34,0.62
JAIPUR,SHAHPURA,50853.3,3160.17,6.21
JAIPUR,MOZAMABAD,62189.98,3144.78,5.06
JAIPUR,RENWAL,56596.31,2616.18,4.62
JAIPUR,SANGANER,68380.03,971.67,1.42
JAIPUR,KOTPUTLI,78278.61,5220.52,6.67
JAIPUR,PHAGI,107744.28,10889.7,10.11
JAIPUR,CHOMU,65808.48,5838.37,8.87
JAIPUR,AMER,85637.49,850.79,0.99
JAIPUR,JAIPUR,50861.46,1718.33,3.38
JAIPUR,PHULERA,93718.41,1754.35,1.87
JAIPUR,DUDU,66875.48,943.68,1.41
JALOR,BHINMAL,56369.38,3681.32,6.53
JALOR,BAGORA,78689.9,9777.27,12.43
JALOR,SAYLA,92799.98,5723.45,6.17
JALOR,RANIWARA,97405.4,3074.38,3.16
JALOR,JASWANTPURA,103471.07,8229.98,7.95
JALOR,JALOR,124721.27,11954.46,9.58
JALOR,CHITALWANA,169829.85,39923.02,23.51
JALOR,AHORE,181544.87,5946.89,3.28
JHALAWAR,GANGDHAR,89406.72,2777.72,3.11
JHALAWAR,ASNAWAR,28462.24,3825.49,13.44
JHALAWAR,AKLERA,76534.46,3792.23,4.95
JHALAWAR,KHANPUR,90107.69,5539.47,6.15
JHALAWAR,ASNAWAR,95922.25,7389.92,7.7
JHALAWAR,MANOHARTHANA,61229.13,2609.6,4.26
JHALAWAR,PACHPHAR,68376.37,5178.31,7.57
JHALAWAR,PIDDAWA,99845.16,3651.34,3.66
JODHPUR,LUNI,162501.34,8912.37,5.48
JODHPUR,BILARA,103688.13,6845.81,6.6
JODHPUR,JODHPUR,180538.72,3353.87,1.86
KARAULI,MANDRAIL,55460.1,528.81,0.95
KARAULI,SAPOTRA,130676.76,1001.1,0.77
KOTA,SANGOD,48882.86,5499.49,11.25
NAGAUR,RIYANBADDI,110271.49,3999.8,3.63
NAGAUR,NAWA,105440.44,7668.55,7.27
PALI,RANI,75616.44,6509.59,8.61
PALI,DESURI,80315.77,4296.06,5.35
PALI,SUMERPUR,93359.99,4888.25,5.24
PALI,RAIPUR,105782.62,2796.96,2.64
PALI,JAITARAN,132705.89,6809.72,5.13
PALI,ROHAT,132679.49,18460.07,13.91
PALI,BALI,135753.22,7097.72,5.23
PALI,MARWAR JUN,136256.45,14474.94,10.62
PALI,PALI,136638.31,12403.41,9.08
PALI,SOJAT,162888.24,13647.65,8.38
PRATAPGARH,ARNOD,63067.42,461.35,0.73
PRATAPGARH,PIPALKHUNT,81289.37,1049.82,1.29
PRATAPGARH,PRATAPGARH,127166.04,1995.26,1.57
PRATAPGARH,DHARIYAWAD,86082.34,4945.56,5.75
