office_name,pincode,delivery_status,office_type,region,division
Ajmer H.O,305001,Delivery,HO,Ajmer,Region Ajmer
Alwar Gate Ajmer S.O,305001,Non-Delivery,PO,Ajmer,Region Ajmer
Ashok Marg Ajmer S.O,305001,Non-Delivery,PO,Ajmer,Region Ajmer
Bhajan Ganj Ajmer S.O,305001,Non-Delivery,PO,Ajmer,Region Ajmer
Dargha Shareef Ajmer S.O,305001,Non-Delivery,PO,Ajmer,Region Ajmer
Dhan Mandi Ajmer S.O,305001,Non-Delivery,PO,Ajmer,Region Ajmer
Ganj Ajmer S.O,305001,Non-Delivery,PO,Ajmer,Region Ajmer
Gujar Dharti Ajmer S.O,305001,Non-Delivery,PO,Ajmer,Region Ajmer
Jln Hospital Ajmer S.O,305001,Non-Delivery,PO,Ajmer,Region Ajmer
Jones Ganj Ajmer S.O,305001,Non-Delivery,PO,Ajmer,Region Ajmer
Kaiser Ganj Ajmer S.O,305001,Non-Delivery,PO,Ajmer,Region Ajmer
Kutchery S.O (Ajmer),305001,Non-Delivery,PO,Ajmer,Region Ajmer
Loco Work Shop Ajmer S.O,305001,Non-Delivery,PO,Ajmer,Region Ajmer
Nagra Ajmer S.O,305001,Non-Delivery,PO,Ajmer,Region Ajmer
Naya Bazar S.O (Ajmer),305001,Non-Delivery,PO,Ajmer,Region Ajmer
Raj. Edu. Board Ajmer S.O,305001,Non-Delivery,PO,Ajmer,Region Ajmer
RPSC Ajmer S.O,305001,Non-Delivery,PO,Ajmer,Region Ajmer
Session Court Ajmer S.O,305001,Non-Delivery,PO,Ajmer,Region Ajmer
Shastri Nagar S.O (Ajmer),305001,Non-Delivery,PO,Ajmer,Region Ajmer
Makhupura B.O,305002,Delivery,BO,Ajmer,Region Ajmer
Ie Makhu Pura Ajmer S.O,305002,Delivery,PO,Ajmer,Region Ajmer
Sendaria B.O,305002,Delivery,BO,Ajmer,Region Ajmer
Adarsh Nagar (Ajmer) S.O,305002,Non-Delivery,PO,Ajmer,Region Ajmer
Dorai B.O,305003,Delivery,BO,Ajmer,Region Ajmer
Somalpur B.O,305003,Delivery,BO,Ajmer,Region Ajmer
Hmt Ajmer Dtso S.O,305003,Delivery,PO,Ajmer,Region Ajmer
Ajai Nagra S.O,305003,Non-Delivery,PO,Ajmer,Region Ajmer
Chanderverdai Nagar S.O,305003,Non-Delivery,PO,Ajmer,Region Ajmer
Ram Ganj Ajmer S.O,305003,Non-Delivery,PO,Ajmer,Region Ajmer
