risk_rank,district,sub_district,flood_affected_percent,risk_category,risk_score
1,JALOR,CHITALWANA,23.51,Very High,4
2,DHAULPUR,RAJAKHERA,16.45,Very High,4
3,BUNDI,INDERGARH,16.04,Very High,4
4,BHILWARA,HAMIRGARH,15.82,Very High,4
5,GANGANAGAR,VIJAY NAGAR,14.87,Very High,4
6,TONK,TONK,14.72,Very High,4
7,PALI,ROHAT,13.91,Very High,4
8,JHALAWAR,ASNAWAR,13.44,Very High,4
9,JALOR,BAGORA,12.43,Very High,4
10,TONK,PIPLU,12.35,Very High,4
11,AJMER,SAWAR,12.16,Very High,4
12,ALWAR,BANSUR,12.16,Very High,4
13,BARAN,CHHABRA,11.73,Very High,4
14,GANGANAGAR,ANUPGARH,11.66,Very High,4
15,KOTA,SANGOD,11.25,Very High,4
16,SAWAI MADHOPUR,KHANDHAR,11.14,Very High,4
17,PALI,MARWAR JUN,10.62,Very High,4
18,JAIPUR,PHAGI,10.11,Very High,4
19,JALOR,JALOR,9.58,Very High,4
20,ALWAR,KOTKASIM,9.5,Very High,4
21,TONK,DEVLI,9.24,Very High,4
22,PALI,PALI,9.08,Very High,4
23,BHILWARA,KOTARI,8.95,Very High,4
24,DUNGARPUR,SABLA,8.92,Very High,4
25,SAWAI MADHOPUR,MALARNADUNGAR,8.91,Very High,4
26,TONK,TODA RAISINGH,8.88,Very High,4
27,JAIPUR,CHOMU,8.87,Very High,4
28,ALWAR,MANDAWAR,8.71,Very High,4
29,PALI,RANI,8.61,Very High,4
30,BHILWARA,JAHAJPUR,8.6,Very High,4
31,BARMER,SAMDARI,8.55,Very High,4
32,PALI,SOJAT,8.38,Very High,4
33,JAIPUR,VIRAT NAGAR,8.37,Very High,4
34,JALOR,JASWANTPURA,7.95,Very High,4
35,HANUMANGARH,PILIBANGA,7.8,Very High,4
36,JHALAWAR,ASNAWAR,7.7,Very High,4
37,BHILWARA,MANDALGARH,7.63,Very High,4
38,JHALAWAR,PACHPHAR,7.57,Very High,4
