date,location,latitude,longitude,rainfall_mm,temperature_c,humidity_percent,wind_speed_mps,pressure_kpa
2025-01-01,Jaipur,26.9124,75.7873,0.0,14.21,45.09,0.92,97.11
2025-01-02,Jaipur,26.9124,75.7873,0.0,15.32,45.84,0.95,97.08
2025-01-03,Jaipur,26.9124,75.7873,0.0,16.11,52.02,1.25,97.03
2025-01-04,Jaipur,26.9124,75.7873,0.0,16.15,55.24,1.78,96.79
2025-01-05,Jaipur,26.9124,75.7873,0.0,15.62,62.38,1.9,96.69
2025-01-06,Jaipur,26.9124,75.7873,0.0,14.12,64.77,1.71,96.89
2025-01-07,Jaipur,26.9124,75.7873,0.0,11.54,53.46,1.93,97.08
2025-01-08,Jaipur,26.9124,75.7873,0.0,13.57,36.63,1.64,96.91
2025-01-09,Jaipur,26.9124,75.7873,0.0,14.51,39.64,1.33,97.0
2025-01-10,Jaipur,26.9124,75.7873,0.0,12.9,54.27,2.5,97.08
2025-01-11,Jaipur,26.9124,75.7873,5.12,11.43,73.2,1.53,96.95
2025-01-12,Jaipur,26.9124,75.7873,0.1,12.58,68.07,1.54,97.1
2025-01-13,Jaipur,26.9124,75.7873,0.0,11.74,69.58,1.35,97.16
2025-01-14,Jaipur,26.9124,75.7873,0.0,12.55,68.49,1.53,97.11
2025-01-15,Jaipur,26.9124,75.7873,2.36,12.69,68.24,1.89,97.15
2025-01-16,Jaipur,26.9124,75.7873,1.2,13.55,70.12,1.47,97.21
2025-01-17,Jaipur,26.9124,75.7873,0.0,12.0,66.1,1.56,97.26
2025-01-18,Jaipur,26.9124,75.7873,0.0,12.67,57.73,1.41,97.03
2025-01-19,Jaipur,26.9124,75.7873,0.0,16.56,61.44,1.78,96.92
2025-01-20,Jaipur,26.9124,75.7873,0.0,16.81,58.24,1.54,96.85
2025-01-21,Jaipur,26.9124,75.7873,0.0,16.5,49.94,1.3,96.71
2025-01-22,Jaipur,26.9124,75.7873,0.0,16.69,56.91,1.68,96.62
2025-01-23,Jaipur,26.9124,75.7873,0.0,15.72,59.74,1.94,96.79
2025-01-24,Jaipur,26.9124,75.7873,0.0,14.38,45.42,1.9,96.92
2025-01-25,Jaipur,26.9124,75.7873,0.0,14.36,35.66,1.78,96.89
2025-01-26,Jaipur,26.9124,75.7873,0.0,15.13,29.21,1.49,96.82
