date,location,latitude,longitude,rainfall_mm,temperature_c,humidity_percent,wind_speed_mps,pressure_kpa
2025-01-01,Ajmer,26.4499,74.6399,0.0,14.73,50.11,1.37,97.36
2025-01-02,Ajmer,26.4499,74.6399,0.0,16.67,47.43,1.42,97.31
2025-01-03,Ajmer,26.4499,74.6399,0.0,18.04,44.12,1.78,97.23
2025-01-04,Ajmer,26.4499,74.6399,0.0,19.34,40.67,2.04,96.97
2025-01-05,Ajmer,26.4499,74.6399,0.0,18.04,46.23,1.76,96.93
2025-01-06,Ajmer,26.4499,74.6399,0.0,14.02,46.25,2.32,97.22
2025-01-07,Ajmer,26.4499,74.6399,0.0,12.11,42.11,1.8,97.4
2025-01-08,Ajmer,26.4499,74.6399,0.0,15.04,29.02,1.22,97.21
2025-01-09,Ajmer,26.4499,74.6399,0.0,15.57,35.92,2.17,97.2
2025-01-10,Ajmer,26.4499,74.6399,0.0,15.58,44.35,3.44,97.22
2025-01-11,Ajmer,26.4499,74.6399,2.75,14.41,59.11,1.53,97.15
2025-01-12,Ajmer,26.4499,74.6399,0.08,14.08,62.99,1.72,97.39
2025-01-13,Ajmer,26.4499,74.6399,0.0,11.62,67.71,1.61,97.46
2025-01-14,Ajmer,26.4499,74.6399,0.0,12.57,63.82,1.92,97.36
2025-01-15,Ajmer,26.4499,74.6399,0.79,13.88,61.15,2.48,97.34
2025-01-16,Ajmer,26.4499,74.6399,0.07,13.87,56.25,1.91,97.49
2025-01-17,Ajmer,26.4499,74.6399,0.0,12.67,61.64,2.22,97.52
2025-01-18,Ajmer,26.4499,74.6399,0.0,14.65,60.35,1.94,97.22
2025-01-19,Ajmer,26.4499,74.6399,0.0,18.14,52.5,2.54,97.15
2025-01-20,Ajmer,26.4499,74.6399,0.0,18.03,44.18,1.5,97.12
2025-01-21,Ajmer,26.4499,74.6399,0.0,17.2,43.69,1.26,96.98
2025-01-22,Ajmer,26.4499,74.6399,0.0,16.58,46.57,1.85,96.88
2025-01-23,Ajmer,26.4499,74.6399,0.0,15.72,46.8,2.14,97.1
2025-01-24,Ajmer,26.4499,74.6399,0.0,15.13,39.53,1.73,97.22
2025-01-25,Ajmer,26.4499,74.6399,0.0,16.03,26.32,1.31,97.19
2025-01-26,Ajmer,26.4499,74.6399,0.0,16.4,21.59,1.16,97.09
2025-01-27,Ajmer,26.4499,74.6399,0.0,16.65,23.07,1.49,96.91
2025-01-28,Ajmer,26.4499,74.6399,0.0,18.51,25.99,1.52,96.8
2025-01-29,Ajmer,26.4499,74.6399,0.0,20.53,19.09,1.82,96.83
2025-01-30,Ajmer,26.4499,74.6399,0.0,18.22,26.69,2.06,96.67
2025-01-31,Ajmer,26.4499,74.6399,0.0,17.54,28.82,1.59,96.62
2025-02-01,Ajmer,26.4499,74.6399,0.0,16.96,30.95,1.45,96.83
2025-02-02,Ajmer,26.4499,74.6399,0.0,16.32,41.49,1.9,97.04
2025-02-03,Ajmer,26.4499,74.6399,0.19,18.69,37.72,2.13,96.9
2025-02-04,Ajmer,26.4499,74.6399,1.09,18.32,31.55,2.04,96.99
2025-02-05,Ajmer,26.4499,74.6399,0.0,16.06,27.52,1.88,97.15
2025-02-06,Ajmer,26.4499,74.6399,0.0,15.78,29.09,1.75,97.3
2025-02-07,Ajmer,26.4499,74.6399,0.0,15.95,22.03,1.68,97.33
2025-02-08,Ajmer,26.4499,74.6399,0.0,18.07,19.27,1.14,97.14
2025-02-09,Ajmer,26.4499,74.6399,0.0,19.33,21.91,1.37,96.93
2025-02-10,Ajmer,26.4499,74.6399,0.0,21.22,19.15,1.75,96.91
2025-02-11,Ajmer,26.4499,74.6399,0.0,21.0,24.31,2.1,96.92
2025-02-12,Ajmer,26.4499,74.6399,0.0,19.55,27.63,2.18,97.11
2025-02-13,Ajmer,26.4499,74.6399,0.0,19.98,23.11,1.49,97.16
2025-02-14,Ajmer,26.4499,74.6399,0.0,21.93,20.97,2.19,96.94
2025-02-15,Ajmer,26.4499,74.6399,0.0,22.68,28.35,3.03,96.61
2025-02-16,Ajmer,26.4499,74.6399,0.0,22.85,26.18,1.57,96.75
2025-02-17,Ajmer,26.4499,74.6399,0.01,22.73,33.06,1.99,96.94
2025-02-18,Ajmer,26.4499,74.6399,0.1,22.69,36.38,2.17,96.93
2025-02-19,Ajmer,26.4499,74.6399,0.31,23.4,34.6,1.91,96.77
2025-02-20,Ajmer,26.4499,74.6399,0.01,22.33,33.79,3.08,96.81
2025-02-21,Ajmer,26.4499,74.6399,0.0,19.91,32.3,2.33,97.22
2025-02-22,Ajmer,26.4499,74.6399,0.0,19.85,32.2,1.86,97.26
2025-02-23,Ajmer,26.4499,74.6399,0.0,21.06,36.4,1.38,97.25
2025-02-24,Ajmer,26.4499,74.6399,0.0,21.3,32.96,1.82,97.36
2025-02-25,Ajmer,26.4499,74.6399,0.0,23.43,29.1,1.8,97.35
2025-02-26,Ajmer,26.4499,74.6399,0.0,25.14,25.31,1.77,97.33
2025-02-27,Ajmer,26.4499,74.6399,0.0,23.85,28.93,2.35,96.99
2025-02-28,Ajmer,26.4499,74.6399,0.68,23.3,37.59,2.67,96.74
2025-03-01,Ajmer,26.4499,74.6399,0.02,23.21,41.57,2.66,96.77
2025-03-02,Ajmer,26.4499,74.6399,0.37,22.16,46.05,1.91,96.8
2025-03-03,Ajmer,26.4499,74.6399,0.0,23.74,33.92,3.69,96.71
2025-03-04,Ajmer,26.4499,74.6399,0.0,19.5,19.11,3.68,97.09
2025-03-05,Ajmer,26.4499,74.6399,0.0,17.32,21.76,2.66,97.26
2025-03-06,Ajmer,26.4499,74.6399,0.0,21.19,15.04,2.51,96.98
2025-03-07,Ajmer,26.4499,74.6399,0.0,24.11,19.43,2.34,96.71
2025-03-08,Ajmer,26.4499,74.6399,0.0,25.12,19.45,1.52,96.53
2025-03-09,Ajmer,26.4499,74.6399,0.0,26.61,18.29,2.14,96.65
2025-03-10,Ajmer,26.4499,74.6399,0.0,27.8,19.92,1.65,96.97
2025-03-11,Ajmer,26.4499,74.6399,0.0,28.29,20.12,2.23,96.89
2025-03-12,Ajmer,26.4499,74.6399,0.0,27.98,24.74,2.37,96.6
2025-03-13,Ajmer,26.4499,74.6399,0.25,27.88,27.47,2.08,96.39
2025-03-14,Ajmer,26.4499,74.6399,0.26,28.37,29.44,2.88,96.4
2025-03-15,Ajmer,26.4499,74.6399,0.06,25.93,30.69,3.21,96.58
2025-03-16,Ajmer,26.4499,74.6399,0.01,24.83,33.68,2.69,96.82
2025-03-17,Ajmer,26.4499,74.6399,0.18,24.56,25.94,2.37,96.89
2025-03-18,Ajmer,26.4499,74.6399,0.0,24.67,22.09,1.87,96.87
2025-03-19,Ajmer,26.4499,74.6399,0.0,25.66,18.75,2.76,96.83
2025-03-20,Ajmer,26.4499,74.6399,0.03,26.27,19.3,2.76,96.97
2025-03-21,Ajmer,26.4499,74.6399,0.08,26.84,23.17,2.49,97.03
2025-03-22,Ajmer,26.4499,74.6399,0.0,27.38,19.35,2.44,96.89
2025-03-23,Ajmer,26.4499,74.6399,0.0,27.09,15.32,2.12,96.97
2025-03-24,Ajmer,26.4499,74.6399,0.0,28.42,14.61,2.33,96.87
2025-03-25,Ajmer,26.4499,74.6399,0.0,28.75,15.05,2.08,96.54
2025-03-26,Ajmer,26.4499,74.6399,0.0,28.54,19.48,3.27,96.36
2025-03-27,Ajmer,26.4499,74.6399,0.0,27.29,17.4,4.06,96.44
2025-03-28,Ajmer,26.4499,74.6399,0.0,23.41,7.77,3.09,96.72
2025-03-29,Ajmer,26.4499,74.6399,0.0,23.04,8.65,2.31,96.75
2025-03-30,Ajmer,26.4499,74.6399,0.0,25.7,9.28,1.59,96.71
2025-03-31,Ajmer,26.4499,74.6399,0.0,26.46,10.97,1.78,96.72
2025-04-01,Ajmer,26.4499,74.6399,0.0,27.45,12.61,1.71,96.58
2025-04-02,Ajmer,26.4499,74.6399,0.0,28.28,12.01,3.08,96.58
